url,label
http://account.login.verify.example.org/login?session=6,suspicious
https://account.secure.example.com/account?id=11,suspicious
http://account.password.verify.example.org/login?session=23,suspicious
https://login.secure.example.com/login?id=4,suspicious
http://account.password.verify.example.org/login?session=24,suspicious
http://198.51.100.10/signin/account-update,suspicious
https://www.github.com/?lang=en,safe
https://www.google.com/?page=1,safe
http://198.51.100.10/urgent/account-update,suspicious
https://www.python.org/blog,safe
http://203.0.113.10/secure/account-update,suspicious
https://www.w3.org/news,safe
https://www.python.org/products,safe
https://example.org/?lang=en,safe
https://www.microsoft.com/?category=1,safe
https://www.microsoft.com/blog,safe
http://192.0.2.10/login,suspicious
https://www.mozilla.org/?sort=latest,safe
https://www.gnu.org/community,safe
http://203.0.113.10/confirm/account-update,suspicious
http://account.confirm.verify.example.org/login?session=14,suspicious
http://account.verify.verify.example.org/login?session=3,suspicious
http://account.account.verify.example.org/login?session=11,suspicious
https://www.google.com/contact,safe
https://www.ietf.org/support,safe
https://www.ietf.org/services,safe
https://signin.secure.example.com/signin?id=9,suspicious
https://www.github.com/news,safe
https://example.org/?page=1,safe
https://www.google.com/terms,safe
https://www.w3.org/products,safe
https://www.google.com/help,safe
https://www.ietf.org/learn,safe
https://www.ietf.org/contact,safe
http://198.51.100.10/account/account-update,suspicious
http://account.account.verify.example.org/login?session=10,suspicious
https://account.secure.example.com/account?id=10,suspicious
https://confirm.secure.example.com/confirm?id=13,suspicious
https://www.mozilla.org/docs,safe
http://192.0.2.10/password/account-update,suspicious
https://password.secure.example.com/password?id=22,suspicious
https://www.mozilla.org/learn,safe
https://urgent.secure.example.com/urgent?id=19,suspicious
https://www.w3.org/contact,safe
http://account.secure.verify.example.org/login?session=17,suspicious
https://signin.secure.example.com/signin?id=8,suspicious
http://198.51.100.10/login/account-update,suspicious
https://www.mozilla.org/services,safe
http://203.0.113.10/login/account-update,suspicious
https://example.com/support,safe
http://account.secure.verify.example.org/login?session=16,suspicious
https://verify.secure.example.com/verify?id=3,suspicious
https://login.secure.example.com/login?id=6,suspicious
https://example.net/?sort=latest,safe
https://example.net/?ref=home,safe
https://example.net/about,safe
https://www.gnu.org/?page=1,safe
http://account.account.verify.example.org/login?session=12,suspicious
http://account.secure.verify.example.org/login?session=18,suspicious
https://www.ietf.org/downloads,safe
http://198.51.100.10/password/account-update,suspicious
https://www.mozilla.org/?lang=en,safe
http://203.0.113.10/password/account-update,suspicious
